Work,Early,Late,Shakespeare
Early_Ben_Jonson,0.047,0.045,0.053
Early_Christopher_Marlowe,0.065,0.063,0.069
Early_Edmund_Spenser,0.038,0.036,0.045
Early_Francis_Bacon,0.034,0.031,0.042
Early_John_Donne,0.053,0.051,0.058
Late_Edmund_Burke,0.035,0.032,0.043
Late_Edward_Gibbon,0.034,0.031,0.042
Late_Fanny_Burney,0.044,0.042,0.05
Late_Oliver_Goldsmith,0.038,0.036,0.045
Late_Samuel_Johnson,0.038,0.035,0.045
Shakespeare1,0.05,0.048,0.055
Shakespeare2,0.058,0.056,0.063
Shakespeare3,0.062,0.06,0.066
Shakespeare4,0.051,0.049,0.057
Shakespeare5,0.062,0.06,0.067
