word,Late_Edmund_Burke,Late_Fanny_Burney,Late_Edward_Gibbon,Late_Oliver_Goldsmith,Shakespeare1,Early_Francis_Bacon,Shakespeare2,Early_Christopher_Marlowe,Shakespeare3,Shakespeare4,Late_Samuel_Johnson,Shakespeare5,Early_Edmund_Spenser,Early_Ben_Jonson,Early_John_Donne
abandon,0.0001235504880244277,2.8060723405449393e-05,7.859472629386568e-05,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.583133684714902e-05,0.0,3.898939488459139e-05
abandoned,0.00010590041830665231,0.0,0.00036677538937137315,0.00023001196062195234,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abandoning,1.7650069717775385e-05,0.0,1.3099121048977614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898939488459139e-05
abase,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abate,1.7650069717775385e-05,5.6121446810898786e-05,0.0,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,7.885191610156126e-05,9.583133684714902e-05,0.0001835704451583295,0.0
abated,5.2950209153326155e-05,0.00014030361702724697,1.3099121048977614e-05,4.600239212439047e-05,0.0,0.0,8.517887563884156e-05,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,0.0,3.898939488459139e-05
abatement,1.7650069717775385e-05,2.8060723405449393e-05,0.0,4.600239212439047e-05,0.0,4.694064355622316e-05,8.517887563884156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdicate,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdicated,3.530013943555077e-05,0.0,3.929736314693284e-05,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdication,1.7650069717775385e-05,0.0,0.00013099121048977614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abet,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abettors,8.825034858887692e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abeunt,1.7650069717775385e-05,0.0,0.0,0.0,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abhor,3.530013943555077e-05,2.8060723405449393e-05,1.3099121048977614e-05,0.0,0.0,0.0,0.0,0.0,0.00019611688566385565,0.0,0.0,0.0,0.0,0.0,3.898939488459139e-05
abhorrence,8.825034858887692e-05,5.6121446810898786e-05,0.00014409033153875374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abhors,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019611688566385565,0.0,0.0,0.0,0.0,0.0,0.0
abide,5.2950209153326155e-05,0.0,0.0,0.0,0.00020563438206868187,0.0,0.0,0.0,9.805844283192783e-05,0.00010349824052991099,0.0,0.0,0.00019166267369429804,4.5892611289582376e-05,7.797878976918278e-05
abilities,0.0004059516035088339,0.00019642506383814575,0.0004453701156652389,0.00023001196062195234,0.0,0.0001173516088905579,0.0,0.0,0.0,0.0,0.0006078288353999514,0.0,9.583133684714902e-05,0.0,0.00023393636930754835
ability,0.00028240111548440616,5.6121446810898786e-05,0.00022268505783261944,4.600239212439047e-05,0.0,0.0001173516088905579,0.0,0.0,0.0,0.00020699648105982198,0.00024313153415998054,0.0,9.583133684714902e-05,4.5892611289582376e-05,0.00011696818465377417
abject,0.00014120055774220308,0.0,0.00010479296839182091,9.200478424878094e-05,0.0,2.347032177811158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5892611289582376e-05,0.0
abjure,1.7650069717775385e-05,2.8060723405449393e-05,0.0,0.0,0.00010281719103434094,0.0,8.517887563884156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abjured,3.530013943555077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablest,3.530013943555077e-05,0.0,6.549560524488807e-05,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ably,3.530013943555077e-05,0.0,3.929736314693284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abnormis,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abolish,3.530013943555077e-05,0.0,2.6198242097955228e-05,0.0,0.0,2.347032177811158e-05,0.0,0.0,9.805844283192783e-05,0.0,0.0,0.0,0.0,0.0,0.0
abolished,3.530013943555077e-05,2.8060723405449393e-05,0.00013099121048977614,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abolishing,3.530013943555077e-05,0.0,2.6198242097955228e-05,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898939488459139e-05
abominable,1.7650069717775385e-05,0.0,0.0,0.0,0.00010281719103434094,2.347032177811158e-05,8.517887563884156e-05,0.0,0.0,0.0,0.00012156576707999027,0.0,0.0,4.5892611289582376e-05,3.898939488459139e-05
abound,1.7650069717775385e-05,0.0,1.3099121048977614e-05,4.600239212439047e-05,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.00010349824052991099,0.00012156576707999027,0.0,0.0,0.0,3.898939488459139e-05
aboutstop,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abridge,1.7650069717775385e-05,2.8060723405449393e-05,0.0,0.0,0.0,4.694064355622316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abridges,1.7650069717775385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abridgments,1.7650069717775385e-05,0.0,1.3099121048977614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
