word,Early,Late,Shakespeare
ab,5.4066231133138094e-05,0.0,0.0
abandon,2.7033115566569047e-05,7.04938091329765e-05,0.0
abandoned,1.8022077044379365e-05,0.00019637561115614882,0.0
abashed,9.011038522189682e-06,2.5176360404634465e-05,0.0
abasing,9.011038522189682e-06,0.0,0.0
abate,6.307726965532778e-05,1.5105816242780679e-05,1.8515775440675455e-05
abatement,1.8022077044379365e-05,1.5105816242780679e-05,1.8515775440675455e-05
abateth,9.011038522189682e-06,0.0,0.0
abbot,9.011038522189682e-06,0.0,0.0
abbreviate,9.011038522189682e-06,0.0,0.0
abdera,9.011038522189682e-06,0.0,0.0
abdicated,1.8022077044379365e-05,2.5176360404634465e-05,0.0
abel,0.00017120973192160397,0.0,0.0
abeunt,9.011038522189682e-06,5.035272080926893e-06,0.0
abilities,0.00010813246226627619,0.0003726101339885901,0.0
ability,9.011038522189682e-05,0.00019134033907522194,3.703155088135091e-05
abject,1.8022077044379365e-05,9.063489745668407e-05,0.0
abjection,1.8022077044379365e-05,0.0,0.0
abjectly,9.011038522189682e-06,0.0,0.0
ablest,1.8022077044379365e-05,3.524690456648825e-05,0.0
abode,2.7033115566569047e-05,6.0423264971122714e-05,1.8515775440675455e-05
abodes,9.011038522189682e-06,5.035272080926893e-06,0.0
abolish,9.011038522189682e-06,2.0141088323707573e-05,1.8515775440675455e-05
abolished,1.8022077044379365e-05,6.545853705204961e-05,0.0
abolishing,2.7033115566569047e-05,2.0141088323707573e-05,0.0
abominable,2.7033115566569047e-05,1.0070544161853786e-05,3.703155088135091e-05
aboriginal,9.011038522189682e-06,0.0,0.0
abortive,1.8022077044379365e-05,1.0070544161853786e-05,0.0
abound,2.7033115566569047e-05,2.0141088323707573e-05,1.8515775440675455e-05
abounded,9.011038522189682e-06,1.5105816242780679e-05,0.0
aboundeth,1.8022077044379365e-05,0.0,0.0
abounding,1.8022077044379365e-05,1.0070544161853786e-05,0.0
aboveground,9.011038522189682e-06,0.0,0.0
abreast,9.011038522189682e-06,0.0,0.0
abridge,1.8022077044379365e-05,1.0070544161853786e-05,0.0
abridgment,9.011038522189682e-06,1.0070544161853786e-05,0.0
abroade,9.011038522189682e-06,0.0,0.0
absalom,9.011038522189682e-06,0.0,0.0
absence,7.208830817751746e-05,0.00019134033907522194,0.00012961042808472818
absolute,7.208830817751746e-05,0.00022155197156078328,7.406310176270182e-05
absolutely,9.011038522189682e-05,0.00016616397867058746,0.0
absoluteness,9.011038522189682e-06,0.0,0.0
absorbed,1.8022077044379365e-05,1.5105816242780679e-05,0.0
absorption,9.011038522189682e-06,0.0,0.0
abstemious,9.011038522189682e-06,0.0,3.703155088135091e-05
abstract,9.011038522189682e-05,7.04938091329765e-05,0.0
