word,count
abaddon,1
abate,4
abb,1
abbey,1
abel,17
aben,1
abetting,1
abhorring,1
abide,1
ability,1
abject,1
ablution,1
aboard,2
abominable,1
abomination,1
abrase,1
absolute,2
absolutely,2
absolve,1
absorbed,1
abstain,1
abstract,4
abstracted,1
abstractions,1
abstruse,1
absurb,1
absurd,1
absurdities,1
absurdity,2
abundance,1
abundant,1
abuse,4
abused,2
abuses,1
abusive,2
acabada,1
academies,1
acater,1
acates,1
accept,1
acceptable,1
accepted,4
acceptive,1
accessible,1
accession,2
accident,3
accip,1
accommodate,1
accompanied,1
accompany,1
accomplice,1
accomplishment,2
accomplishments,1
accost,1
account,7
accounts,1
accuse,2
accustomed,2
acediae,1
aces,1
ach,2
acharnians,1
achieved,1
acknowledge,1
acknowledged,1
acknowledging,1
acknown,1
acme,1
acquaint,2
acquaintance,2
acquainted,3
acquit,1
acres,1
acted,6
acting,1
action,6
actions,1
active,2
activity,1
actor,2
actors,5
acts,1
actual,4
acude,1
acute,1
ad,2
adalantado,2
adam,2
adamant,1
adapt,1
adapted,2
adapting,1
add,3
adding,2
addition,1
additional,1
additions,1
address,2
addressed,2
adds,1
adherence,1
adjection,1
adjective,1
administer,1
administration,1
admirable,6
admirably,2
admirals,1
admiration,2
admire,3
admired,1
admires,2
admitted,1
ado,2
adorn,1
adrop,2
adscrive,1
adulterate,2
adv,1
advance,9
advanced,2
advances,1
advancing,2
advantage,2
adversaries,1
adversary,3
adverse,1
advertise,1
advertised,1
advertisement,2
advice,1
advise,2
advised,1
aegyptians,1
aesculapius,1
affable,1
affablest,1
affair,3
affairs,1
affect,3
affectedly,1
affection,2
affectionate,2
affections,6
affixed,1
afflict,2
afforded,1
affrighted,1
affront,3
affrontis,1
affy,1
afire,2
afoot,1
afore,6
aforehand,4
afraid,4
afternoon,4
afterward,1
agat,1
age,10
agency,1
agent,2
ages,1
aggravate,1
agile,1
agility,1
agitate,1
agnes,1
agni,1
agnomination,1
agog,1
agree,2
agreeable,2
agreeably,1
agreed,2
agreement,2
agues,1
aid,2
aiery,1
aim,5
air,8
airing,1
airy,1
aisle,1
aisles,1
alarum,1
alas,4
albania,1
albany,1
alchemist,13
alchemists,1
alchemy,4
alderman,1
ale,2
alehouse,1
alembic,1
alembics,1
alewives,1
alexander,1
alexanders,1
algebra,1
alguna,1
alight,1
alike,1
alive,1
alkali,1
allegar,1
allege,2
allegories,1
allegory,2
alleyn,2
alleys,1
allied,1
allowance,4
allowancehence,1
alls,5
allthis,1
allto,1
alltobeladen,1
allude,1
alluded,1
allure,1
allusion,2
allusions,2
almacantaras,1
almain,1
almanack,1
almonds,1
almostequal,1
almuten,1
aloft,1
aloud,5
altar,1
altered,6
alternative,1
altitude,1
altitudes,1
altogether,3
aludels,2
amadis,1
amalgama,1
amateurishness,2
amaze,1
amazed,2
amber,3
ambergris,1
ambiguities,1
ambition,1
ambitions,1
ambitious,1
ambled,1
ambre,1
ambree,1
amends,1
american,1
amesace,1
amiable,1
amo,1
amor,2
amorphus,1
amphibolies,1
ample,1
amplified,1
amsterdam,3
amused,2
amusement,4
amy,1
ana,59
anabaptist,1
anabaptistwho,1
anaides,1
ananias,25
anatomy,1
ancient,6
anciently,1
ancients,4
andirons,6
ands,2
anenst,1
anew,1
angel,2
angels,4
anger,4
angle,3
angles,1
angry,10
animal,1
animals,1
animated,1
annandale,1
annesh,1
anniversary,1
annularis,1
annulld,1
anoint,1
anon,6
anonymous,1
anos,1
answer,7
answers,1
ant,6
antagonist,1
anthology,1
anthony,1
antic,2
antichrist,1
antichristian,2
anticipate,1
anticipated,1
anticipation,1
antics,1
antidote,3
antigonus,1
antimasque,1
antimonium,1
antiperistasis,1
antiquarian,1
antiquary,2
antique,1
antiquities,1
antiquity,1
antlers,1
antonio,2
antony,1
aphrodisiac,1
apicius,1
apiece,1
apocryphal,1
apollo,3
apostles,1
apozem,1
apparel,1
apparelled,2
apparent,1
apparitions,1
appealed,1
appearance,2
appeared,1
appears,6
appease,1
appeased,1
appellation,1
apperil,1
appetite,2
apple,1
applejohn,1
appleseller,1
applesquire,1
application,2
applied,4
applies,1
apply,3
appoint,1
appointed,1
apportion,1
appreciation,1
apprehend,3
apprehensive,1
apprenticed,1
approach,5
approaches,1
approbation,1
appropriateness,1
approval,1
approve,2
approved,1
approvingly,1
apt,2
aptitude,2
aptly,1
aqua,2
aquavitae,1
aqueity,1
arber,1
arbor,1
arch,1
archangel,1
archery,1
arches,2
archibald,1
archie,1
architect,1
ardens,1
ardour,1
aretine,1
argaile,2
argentvive,2
argol,1
argues,1
argument,4
arguments,1
argus,1
aries,1
aristophanes,2
aristotle,1
arm,2
armorial,1
