word,count
abb,1
abbess,14
abigail,121
aboard,1
abovein,1
abraham,1
abrahams,2
absolutely,1
absurdity,1
abundance,1
accepted,1
accessary,1
accidents,1
account,6
accursed,4
accuse,1
accused,1
acquaintance,1
acted,2
action,2
actor,4
actors,3
adam,1
aday,2
add,1
adduced,1
admird,1
admission,1
admit,3
admitted,2
admonition,1
adonis,1
adopt,1
adriatic,1
advantage,3
adventure,1
aesop,1
affairs,1
affection,1
affections,1
affianced,1
affirm,1
afflict,1
affliction,1
afflictions,4
afford,2
afforded,1
afire,2
afore,1
afraid,1
afric,1
againshe,1
agamemnon,1
age,7
aged,1
agent,1
agone,1
agood,2
aid,4
ailst,1
aimd,2
air,4
alarums,1
alas,7
albeit,1
alexander,2
alexandria,5
alienation,1
alive,2
alleyn,5
allin,1
alls,1
alludes,1
allusion,1
alms,1
alps,1
altar,1
alteration,2
altered,2
amain,1
amber,1
ambition,2
ambles,1
amethysts,1
amorous,1
anchors,1
ancient,1
anciently,2
ancona,1
andria,1
angers,1
anglia,2
anon,3
answer,6
ant,1
antiochus,1
antwerp,1
apelles,1
apox,1
appears,3
applied,1
applies,1
applying,1
appoint,1
appointed,1
apt,1
apud,28
arabia,1
arabians,1
arbitrement,2
argosy,5
arising,1
arms,7
army,1
arripere,1
arrivd,2
art,14
artful,1
article,1
articles,3
artificial,1
ascend,3
asgo,1
ashamd,1
ashore,4
asidedid,1
asidei,1
asideo,1
asideplease,1
asidepray,1
asidewhat,1
asleep,2
aspect,1
ass,2
assassinated,1
assault,1
assure,2
assuredly,1
asunder,1
athens,1
atone,1
atonement,1
attain,1
attempt,1
attempted,1
attend,4
attendant,1
attendants,1
attended,1
attire,1
attribute,3
audience,3
aught,3
author,3
authority,3
authors,7
avail,1
awake,3
aware,1
ay,39
bacchanalian,1
bacchus,1
backd,2
backlanes,1
bacon,1
bag,2
bags,6
bairseth,1
balcony,1
bald,1
ban,1
banco,1
bands,1
bane,1
banish,1
bankrupts,1
banks,4
banquet,6
baptizd,1
bar,2
bara,1
barabas,384
barabass,6
barbarous,1
bare,2
barefoot,2
barely,1
barnaby,1
barnardine,43
barness,1
barrd,1
barrels,1
barrenness,1
bartholomews,1
base,6
baseborn,1
basely,2
bashaw,1
bashawes,3
bashaws,2
basilisks,6
basso,10
bassoes,21
batten,2
batter,2
battle,1
beak,2
beake,1
beaks,1
bear,7
beard,3
bearer,4
bears,1
beasts,2
beating,1
beaumont,3
beauteous,2
beautiful,2
beauty,3
bed,2
beef,1
beer,2
befalln,1
began,2
beggars,1
beggary,1
begging,1
beginner,1
begone,2
beguild,1
behavd,1
behave,1
beheld,2
behold,1
behoves,1
belief,1
believed,1
belike,5
bell,1
bellamira,55
bellamiras,2
bellowd,1
bells,2
belly,2
belong,2
belonged,2
belonging,3
benefit,1
bereave,1
besiegd,2
betake,1
betide,1
betided,1
betimes,1
betrayd,1
betrayed,1
betrays,1
betrothd,1
bets,1
betwixt,1
bewray,1
bid,9
bids,1
big,1
billows,1
bills,1
bin,3
bind,1
binding,1
bird,1
birds,1
birn,1
birth,2
birthday,1
bite,1
bitter,1
black,1
blame,1
blasts,1
bless,1
blessd,1
blessing,2
blessings,1
blest,1
blew,1
blind,2
bliss,2
blithely,1
blood,7
bloweth,1
blown,1
board,2
bodies,1
body,6
bold,4
boldly,2
bombards,2
bon,1
bondman,1
book,5
bookmiddletons,1
books,1
boot,1
boots,2
bordering,1
borgias,1
born,5
borrowing,1
bosco,19
bosom,1
bosome,1
bottels,1
bottlenosed,2
bought,7
bould,1
bound,5
bout,1
bowels,1
bowls,1
boy,2
bracelets,1
brachiano,2
brackets,3
brag,1
brains,1
brass,2
brave,13
bravely,4
bravest,2
brazen,2
bread,1
break,6
breaks,1
breast,1
breasts,1
breath,4
breathe,1
breeds,1
brethren,6
bright,1
brightsome,1
bring,15
brings,1
britain,1
broke,1
broken,1
brokery,1
brook,1
broth,6
brother,9
brothers,1
brought,8
bueno,2
built,1
bull,2
bullets,2
bullion,1
bully,1
burbadge,1
burden,3
burials,1
buried,2
buries,1
burning,2
bury,2
bush,1
business,2
businesses,1
busy,3
buy,5
cable,2
caesar,2
cain,2
caire,1
calabria,3
calamity,2
caldron,3
callapine,1
calld,1
called,4
calymath,65
cambyses,1
camels,2
camst,3
canaan,1
candy,2
candyshore,2
cannon,1
canonlaw,1
canst,8
captain,2
captains,2
captive,1
captives,1
captivity,1
carat,1
care,3
carobtree,1
carp,1
carpenter,3
carpenters,4
carpets,1
carried,5
carrubbio,1
carry,1
carrying,1
carryt,1
casca,1
cassius,1
cast,9
castile,1
castilian,1
castiliano,2
casts,1
catechising,1
caterpillars,1
catholic,1
cathosee,1
cats,2
catso,1
catzery,2
caught,1
causd,1
causers,3
cazzo,3
celebrated,2
cellar,1
cellars,1
censures,2
ceremony,1
certatim,1
chaind,1
chaining,1
chair,1
challenge,9
cham,1
chambers,2
chance,3
chanced,1
changd,1
change,9
changed,3
channels,2
character,2
charge,11
charged,1
charges,1
charity,4
charles,1
charter,1
chase,2
chaste,3
chaucers,1
cheating,1
cheek,1
cherish,1
chests,1
chiefest,1
child,5
childish,1
children,2
childrens,1
chitterlings,1
choice,2
choke,1
choose,2
chopslet,1
chose,1
christendom,2
christened,1
christian,18
christianhumwhats,1
christians,18
christopher,2
church,1
churches,1
circumcisd,1
circumcised,2
circumspect,1
citadel,6
cited,3
citizens,1
cittern,1
city,11
citys,1
citywalls,2
civil,1
claim,2
clambered,1
class,1
clay,1
clean,4
clergy,1
clerkenwell,1
clii,1
climb,1
climbing,1
close,5
closely,1
closing,1
clothes,2
clouds,2
coast,1
coasted,1
cockpit,5
cocytus,1
coffer,1
coffers,1
coin,5
coins,2
col,8
cold,2
coles,1
collection,1
college,1
collier,9
colliers,1
colour,2
column,2
combat,1
comeliest,1
comeso,1
comfort,2
coming,5
comma,1
command,7
commandand,1
commanded,1
commandement,1
commands,1
commend,1
commended,2
comment,1
commission,1
commit,1
committed,1
common,5
companionbassoes,1
company,3
comparative,1
compare,10
comparison,1
compass,4
compassion,1
composed,1
composition,1
compositors,1
comst,1
concern,1
concerneth,1
conclude,1
concubine,1
condemnd,1
condition,4
conditions,2
conduct,1
confederates,1
conference,1
confess,13
confessay,1
confessd,2
confession,2
confirm,1
confirmation,1
confounding,1
confusion,2
conning,1
conquer,2
