word,count
aback,1
abandon,1
abashd,1
abate,1
abed,1
abel,1
abhorrd,1
abib,1
abide,2
abilities,1
ability,1
abode,2
abounds,1
abruptly,2
absence,1
abundantly,1
abuses,1
abye,1
accloyeth,2
accord,3
accordeth,1
account,8
accoyed,2
accrue,1
accusation,1
ache,1
acquaintance,1
active,1
adam,1
adawed,2
adays,2
addrest,1
adieu,6
admiration,1
admire,2
adore,2
adorn,3
adorned,3
adown,2
advance,4
adventured,1
advice,1
advise,1
advised,1
advisement,1
aeginomon,1
aegloga,13
aeglogai,1
aeglogues,2
aegon,1
affairs,1
affect,1
affection,1
affliction,1
affray,1
afore,3
aforesaid,1
afraid,2
afterward,1
age,12
aged,3
ages,2
aghast,3
agitante,1
agree,3
agreeable,1
agreed,1
aid,2
aimed,1
air,2
al,1
alack,2
alas,11
albe,7
albeit,4
alceus,1
alegge,2
algate,2
algrind,6
algrinds,1
alienated,1
aliens,1
alike,4
alive,3
allay,1
allto,4
aloft,3
als,7
altars,1
altogether,1
amaze,1
amazed,1
ambiguous,1
ambitious,3
ambrosia,1
amend,2
amiss,2
analysis,1
anchor,1
anchora,1
ancient,6
ancora,2
andalo,1
angelic,1
anger,1
angry,1
animates,1
anni,1
annoyed,1
annoyeth,1
annum,1
anon,1
anone,1
answer,1
answerd,1
answered,1
answereth,2
answering,1
antiquity,3
apace,4
apaid,2
apes,1
apist,1
apistei,1
apistos,1
appal,1
appeared,1
appeareth,3
appearing,1
applied,3
apply,1
applying,1
approach,1
approachen,1
approvance,1
april,5
ara,1
arbiter,1
archbishop,1
archive,1
arede,4
argument,16
argus,3
armour,1
arms,2
arose,1
array,3
arrow,3
art,17
ashamed,1
askance,1
asked,2
asleep,5
aspire,2
aspiring,1
assault,1
assayd,2
assayed,1
assert,2
assigned,1
assot,2
assuage,3
assurance,1
assuredly,1
astonied,1
astray,2
astrologers,1
asunder,1
atlas,1
attacks,1
attemper,1
attemperd,1
attend,1
attone,2
attones,2
attributed,1
attune,1
augment,7
august,3
augustus,1
author,8
authority,2
authors,4
avail,1
availe,3
availed,1
availes,2
avenged,1
awake,2
awdrey,1
awful,1
awoke,1
axes,1
ay,1
aye,9
aylmer,1
babes,3
bacchus,1
bad,3
bade,1
bagpipe,2
bagpipes,1
bags,1
bail,1
baits,1
bald,1
bale,3
baleful,5
balk,2
ball,1
band,1
bandogs,1
bane,1
baneful,1
banished,1
bank,1
barbarous,1
bare,5
bared,3
bargain,1
bark,3
barketh,1
barking,2
barley,1
barren,3
base,7
basebegot,1
baseness,2
baser,1
bashan,1
basket,3
baskets,1
bastard,1
bate,2
bated,1
bathe,2
bawdy,1
bawl,1
bay,1
baybranches,1
bays,1
beads,1
beam,1
beams,3
bear,17
beard,1
beards,1
bearen,1
bearing,1
bears,4
beast,2
beastly,1
beastlyhead,1
beasts,5
beat,4
beaten,2
beating,2
beautiful,2
beautify,1
beauty,4
beautys,3
bed,5
bedight,2
bee,1
befall,3
beforementioned,1
beforn,2
began,4
beget,1
beginneth,4
begot,2
beguile,1
begun,1
behaviour,1
behight,3
behold,3
behote,2
believd,1
belive,2
bell,1
belle,1
bellibone,3
bellies,1
bellona,1
bells,1
belongs,1
beloved,2
belt,1
belts,1
bend,2
bene,4
beneath,1
benempt,3
bent,10
benumbd,1
bereave,1
berries,1
beseech,1
beseem,1
bespake,1
besprent,2
besprinkled,1
besprint,2
bestad,1
beste,1
betide,1
betight,3
betraying,1
bett,2
betwixt,1
bevy,1
bewail,1
bewaileth,1
beware,2
bewitch,1
bewitchd,1
bewray,2
bid,3
bidding,2
bids,3
bier,1
big,4
biggen,2
bigger,1
bigness,1
bin,2
bind,1
bird,2
birds,10
birth,4
biscuits,1
bishop,1
bissextilem,1
bit,1
bite,1
biting,2
bits,1
bitter,5
bitterness,1
black,5
blame,8
blames,1
blamest,1
blast,5
blasted,2
blasts,1
blaze,2
blazing,2
blear,1
bleed,2
blemish,2
bless,4
blessed,8
blew,1
blind,1
blinded,1
bliss,1
blist,1
block,2
bloncket,2
blont,2
blood,5
bloody,2
blooming,1
blooms,1
blossom,1
blossoms,5
blot,1
blow,2
blowen,1
bloweth,1
blown,3
blows,3
blue,2
blushd,1
blustering,1
blustring,2
boast,5
boccace,1
bodies,1
body,7
bold,3
boldly,1
bolstering,1
bolt,1
bolts,1
bonds,1
bones,1
bonilass,2
bonne,1
bonnibell,1
book,7
boot,1
boots,1
boreas,1
born,1
borrell,2
borrow,5
borrowing,1
bough,2
boughs,6
bought,7
bouncing,1
bound,1
bow,4
bower,9
bowers,1
bowl,2
boy,9
boys,4
brace,2
brackish,1
brag,2
bragging,1
bragly,2
brain,4
brakes,1
bramble,2
brambles,1
branch,6
branches,6
brass,1
brave,1
bravery,1
breach,1
bread,1
break,3
breaketh,1
breast,2
breath,4
breathed,1
bred,4
breech,1
breed,4
breme,3
brent,2
brere,11
brethren,2
brewed,1
briar,1
bridgets,1
bridle,1
brier,2
bright,7
brightness,2
bring,8
bringen,2
bringeth,1
brings,2
broad,2
brocage,2
broke,8
brook,1
brooms,1
brother,5
brothers,1
brought,6
broughten,1
broused,1
brouze,1
brown,1
brows,1
bruisd,1
brutish,1
bubble,1
buck,1
bud,4
budded,2
budding,1
buds,5
bugle,2
build,1
buildest,1
buildings,1
bullock,2
bullocks,1
bulls,2
bulrushes,1
bundle,1
burdend,1
burdenous,3
burdens,1
buried,3
burnt,3
bursteth,1
bush,6
bushes,4
bushy,1
buskin,1
bustling,1
busy,1
butten,1
butter,1
buxom,2
buy,2
cabinet,1
cages,1
caitiff,1
cakes,1
calender,7
calescimus,1
called,11
calleth,5
calling,1
calliope,2
calm,1
camst,1
canan,1
cankerworms,1
canst,1
canvass,1
cap,1
capacity,1
carcase,1
care,15
careful,25
carefully,2
careless,4
caren,3
cark,2
carol,2
carrion,2
carven,1
case,6
cases,1
cast,10
casten,2
casteth,1
casts,1
casualty,1
catch,2
catchen,1
catholic,1
cattle,1
caught,3
causd,1
caused,2
causeless,1
cave,1
cease,5
celestial,1
ceremonies,1
certe,1
certee,1
chaff,2
chaffred,2
chalk,1
challenge,1
chamfred,2
chancd,2
chance,4
chanced,2
change,4
changeable,1
changed,4
chanting,1
chapelet,2
chaplets,1
charge,2
charity,1
charm,2
chase,6
chat,2
chatten,1
chaucer,4
checkmate,1
cheek,2
cheer,9
cheerful,2
cheerfully,1
cheerless,1
cherish,1
chevisance,3
chi,1
chief,7
chiefest,1
child,3
childbirth,1
chill,3
chimneys,1
chin,1
chink,1
chips,2
chirruping,1
chiswick,1
chivalry,3
chloris,1
choice,6
choler,1
choose,1
chose,3
chris,1
christ,2
christendom,1
christians,1
christmasgame,1
church,2
cinnamon,1
claim,1
claiming,1
clapt,1
clatter,1
claw,1
clay,2
clean,1
cleanly,1
clear,4
cleareth,1
cleave,1
cleaves,2
clifts,1
climb,5
climbers,1
clink,1
cloak,1
close,5
clothd,1
clothe,1
clothed,1
clothing,2
clouds,3
cloudy,1
clout,10
clouted,2
clown,1
clownish,1
coal,1
coals,2
coast,4
coasts,1
coat,1
coats,1
cock,1
cocked,1
cockle,1
col,5
cold,12
colin,33
colinet,1
colins,11
collusion,2
colour,3
colourable,1
coloured,5
colours,3
columbine,1
comely,1
comet,2
cometh,1
comfort,1
coming,1
command,1
commanded,3
commencement,1
commendable,2
commendation,3
commendeth,1
commenting,1
commit,1
common,7
commonly,1
companies,1
companions,1
compare,4
compared,1
compareth,1
comparing,3
compass,8
compiled,1
complain,1
complained,2
complainest,1
complaineth,2
complaining,2
complaint,2
complaints,1
composing,1
conceal,1
conceit,2
conceive,2
concord,2
concordance,1
cond,3
condemn,1
condemning,1
condition,2
confined,1
confirming,1
conformable,1
confound,1
confusion,2
congealeth,1
conne,2
conned,1
conning,1
conquered,2
conqueror,1
conquest,1
considerations,1
constellation,1
constraint,3
consumed,1
containeth,1
contemned,1
contempt,4
content,3
contented,1
contents,1
contest,2
continuance,1
continue,2
continued,1
continueth,1
contradiction,1
controversy,1
convenable,2
conversation,1
cool,1
cooled,1
cools,1
coop,1
copia,1
corb,2
corda,1
corn,3
coronal,2
coronations,1
coronet,1
corpse,1
corrupted,2
corse,2
cosset,4
cost,1
cote,4
cotes,1
cottage,1
counsel,4
count,3
counted,2
countenance,2
counterfeit,1
counterpoint,1
counting,2
countries,1
country,7
counts,1
courage,6
courageous,1
court,1
courtsies,1
couth,7
cover,1
covering,1
covertly,1
coverture,1
covetise,1
cowslips,1
crabbed,1
cracknels,3
craft,3
craftiness,1
crafty,1
crag,2
craggy,2
crags,1
cramp,1
crane,1
crank,2
crave,1
craveth,1
craving,1
cream,1
creations,1
creatures,2
credence,1
credit,2
credulous,1
creep,2
creeping,1
crept,2
crew,1
cried,1
cries,7
crime,1
crimson,2
crooked,2
crookedness,1
crop,2
crossd,1
crow,1
crowing,2
crown,2
crowned,2
crows,1
cruel,3
crumenall,2
crusts,1
crying,1
crystal,3
csar,2
ctera,1
cud,16
cuddie,16
cuddies,6
cuddy,1
cumbers,1
cunning,3
cup,2
cupid,2
cupids,1
cups,1
cur,2
curdled,1
curdles,1
curds,1
cure,1
cured,1
curious,1
curnow,1
currish,1
currs,1
curse,3
custom,3
cut,2
cynthia,1
cynthias,1
cypress,1
daffadillies,1
daffadowndillies,1
daffodillies,1
daily,7
dainty,4
daisies,1
dale,1
dales,5
dam,5
damask,1
dame,6
damsels,2
damsines,1
dan,1
dance,8
dancen,2
dances,1
dancing,1
danger,3
dangerous,1
dapper,2
dared,1
daring,1
dark,3
darken,1
darkens,1
darkly,1
darkness,1
dart,3
dashd,1
daughter,3
daughters,4
daunted,3
davie,3
day,12
daylight,3
days,8
dea,2
dead,17
deadly,6
deal,2
dealt,1
dear,17
dearly,1
death,19
deaths,2
debars,1
decay,4
decayed,2
deceit,2
deceitful,1
deceived,1
deceivers,1
december,3
decima,3
deck,2
decked,2
declare,1
decorum,2
decreased,1
dedicated,1
deed,3
deeds,3
deem,4
deemd,1
deemed,4
deemen,2
deep,3
deeper,2
defaced,1
defast,2
default,1
defend,1
defild,1
defile,1
definition,1
deftly,1
degree,4
deign,1
deigns,1
delectable,1
delicate,1
delice,1
delight,12
delighted,1
delighten,1
delights,7
delightsome,1
deliver,1
dell,1
demand,2
demands,1
demeanour,1
dempt,2
denoting,1
depart,1
depeincten,2
depend,1
depriving,1
deriving,1
derring,2
derringdo,2
descend,1
descried,1
desert,1
deserved,2
deserves,2
deserveth,1
desire,1
desired,1
desperate,2
despise,1
destruction,1
device,1
devices,2
devil,1
devils,1
devise,3
devised,2
devising,1
devoir,2
devoured,3
dew,3
dewed,1
dewlap,1
dewy,1
diademe,1
dialect,1
dianas,1
didest,2
dido,7
didst,6
die,4
diest,1
dig,14
diggon,17
diggons,2
dight,9
dim,1
dint,2
dirk,2
dirks,2
disappeared,1
disarrayd,1
discern,1
disconsolate,1
discord,1
discourse,2
discourses,3
discourseth,2
discoursing,1
discourtesy,1
disdain,4
disease,2
disgrace,2
disguise,1
disherited,1
dislodge,1
disloyally,1
dismount,1
disorderly,2
disparage,1
displacd,1
display,4
displayd,2
displays,1
displeasure,2
dispraise,1
dispraised,1
dissolute,1
dissolution,1
distaind,1
distress,2
distributed,1
disturb,1
ditch,1
ditties,4
ditty,1
divers,2
divided,1
divine,2
divinely,1
divinity,1
division,1
doctrine,1
doen,7
dog,5
dogs,2
doings,1
dole,3
doleful,3
dolefully,1
dolls,1
dolors,1
domans,1
dool,2
doom,3
door,9
dost,9
doth,43
double,1
doubleeyed,1
doubling,1
doubt,3
doubted,3
doubteth,1
doubtful,2
doubting,1
downs,1
draw,3
draweth,2
drawing,2
draws,1
dread,3
dreaded,1
dream,2
dreams,1
drearily,1
dreariment,1
dreary,6
dreed,1
drench,1
drent,2
dress,1
drest,1
drew,1
dried,2
drift,1
drinks,1
driven,1
drizzling,1
drooping,1
drops,3
drouth,1
drove,3
drownd,1
drowned,1
dry,2
duly,1
dun,1
dunghill,1
duodecima,3
durance,1
durst,2
durt,1
dust,2
duty,1
dwell,9
dwelled,1
dwells,1
dwelt,1
dyed,1
eagle,2
ear,2
earl,1
early,5
earnest,1
ears,3
earth,9
earthly,2
earthquake,1
ease,6
easeth,1
east,1
easy,1
eat,1
eath,3
echo,2
eclogai,1
eclogues,1
edgar,1
edge,2
edmund,2
eer,1
effort,1
eft,4
eftsoons,2
eglantine,1
egypt,1
egyptians,1
eke,12
eked,2
eking,1
eld,5
elder,6
element,1
eleventh,1
elf,1
elisa,11
elizabeth,2
elmer,1
elocution,1
elvish,1
elysian,1
embellish,1
embellishd,1
embellished,1
emblem,3
embleme,25
emblemes,6
embost,1
embrace,1
embraced,1
embracing,1
embrave,2
emperished,1
emprise,2
enamoured,4
enaunter,4
enchased,2
encheason,3
encroach,1
encumbereth,1
endeavoured,1
endeavoureth,1
ended,3
endeth,1
endless,1
endure,1
endured,1
enduren,1
endymion,1
enemies,1
enemy,2
england,1
english,10
engrained,1
engraved,1
enjoys,1
enlumine,1
enrage,1
enrich,1
enrichd,1
enriched,1
ensueth,1
entangled,2
enterprise,1
enters,2
entertain,1
enthousiasmos,1
entice,1
entitled,1
entrailed,2
entrance,2
entrap,2
envied,1
envy,4
epilogue,2
epistle,1
equal,2
equals,1
equipage,1
ere,6
ermines,1
erroneously,1
error,1
erst,8
erunt,1
escaped,1
eschylus,1
especial,1
espied,2
espy,2
essempio,1
estate,1
esteemed,1
estranged,1
eternal,6
ethelred,1
evanders,1
eve,2
events,1
evil,6
ewe,1
ewes,1
excel,1
excellency,4
excellent,8
excessive,1
exchanged,1
exercises,1
exerted,1
expel,1
experience,1
expert,2
expired,1
explain,1
exposition,1
express,1
expressing,1
exquisite,1
extinct,1
extraordinary,1
eye,8
eyed,1
eyes,7
fa,1
fable,1
face,10
faces,1
fade,1
faded,4
faeries,2
faery,1
fail,2
fails,1
fain,3
faint,2
fainting,1
fair,16
fairer,1
fairest,2
faith,6
faithful,1
faithless,4
faitours,3
fall,13
fallen,3
falls,4
false,6
falsehood,2
falsers,3
fame,3
familiar,1
famous,3
