word,count
ab,4
abandon,1
abandoned,2
abashed,1
abasing,1
abate,2
abatement,2
abateth,1
abbot,1
abbreviate,1
abdera,1
abdicated,2
abel,1
abeunt,1
abilities,5
ability,5
abject,1
abjection,2
abjectly,1
ablest,2
abode,1
abodes,1
abolish,1
abolished,2
abolishing,2
abominable,1
aboriginal,1
abortive,1
abound,2
abounded,1
aboundeth,2
abounding,1
aboveground,1
abreast,1
abridge,2
abridgment,1
abroade,1
absalom,1
absence,1
absolute,3
absolutely,6
absoluteness,1
absorbed,1
absorption,1
abstemious,1
abstract,6
abstruse,6
absurd,6
absurdities,1
absurdity,4
absurdly,3
abundance,2
abundant,2
abuse,2
abused,1
abuses,3
abuseth,1
abusing,1
ac,1
academy,2
accedunt,1
accelerated,1
accept,3
acceptable,3
acceptance,1
accepted,3
accepteth,1
acceptissim,1
access,3
accessary,4
accession,5
accessions,1
accessiontac,1
accident,3
accidentally,1
accidents,3
acclamations,1
accommodate,1
accompanied,1
accompany,1
accompanying,1
accomplice,1
accomplished,7
accomplishment,1
accomplishments,1
account,33
accounted,3
accounting,3
accounts,4
accumulated,1
accumulating,1
accumulation,1
accurate,3
accusation,7
accuse,2
accused,4
accuser,2
accusing,1
accustomed,4
achelous,7
acherontis,1
achieve,1
achieved,3
achievement,1
achieving,1
achilles,2
acknowledge,4
acknowledged,2
acknowledges,1
acknowledgment,1
acquaint,1
acquaintance,4
acquaintances,1
acquainted,6
acquaints,1
acquire,2
acquired,6
acquiring,1
acres,2
acteon,4
acting,4
action,20
actions,27
actiue,1
actium,2
active,6
activity,4
actor,1
actors,4
acts,7
actual,6
actuated,1
aculeate,1
ad,11
adage,1
adagies,1
adamant,2
adapt,1
adapted,5
add,21
addeth,5
adding,3
addison,3
addition,5
additions,1
address,5
addressed,2
adds,2
adeste,1
adhere,2
adhered,2
adheres,1
adjacency,1
adjourn,1
administer,1
administered,1
administering,1
administers,1
administration,4
admirable,7
admirably,1
admiral,2
admirall,1
admirallio,1
admiration,13
admire,5
admired,5
admirer,2
admirers,2
admiring,1
admission,2
admit,6
admits,3
admittance,3
admitted,9
admonished,3
admonishes,1
admonition,7
ado,3
adoption,2
adored,2
adorned,3
adrian,2
adrianople,1
aduenture,1
adulation,1
adulteresses,1
adust,1
adv,1
advance,3
advanced,7
advancement,21
advancements,1
advanceth,1
advancing,2
advantage,15
advantageous,2
advantages,5
adventitious,2
adventure,2
adventures,3
adversario,1
adversarum,1
adverse,4
adversities,1
adversity,16
advertise,1
advertisement,1
advertit,1
advice,14
advices,1
advise,2
advised,2
advisedly,1
advisers,1
advising,1
advocate,1
advocates,4
advoutresses,1
afar,7
affability,1
affable,1
affair,1
affairs,24
affect,9
affectation,2
affection,25
affectionate,2
affectione,1
affections,20
affectui,1
affinity,2
affirm,3
affirmative,1
affirmed,2
affixed,1
afflict,1
afflicted,1
afflicting,2
affliction,1
afflictions,4
affluence,2
afford,6
afforded,4
affording,1
affords,3
affrighted,2
affrights,1
affronts,1
afraid,3
afresh,1
africa,1
africanus,3
afternoon,1
afterthought,1
againaction,1
agamemnon,2
age,58
aged,4
agency,1
agendum,1
agere,1
ages,24
agesilas,1
agesilaus,2
aggravate,1
aggravation,1
agit,1
agitation,3
agitations,1
agmina,1
agoe,1
agree,4
agreeable,5
agreeably,2
agreement,4
agrees,1
agreeth,2
agrippa,2
ahab,2
ahmed,1
aid,6
aided,1
aids,5
aim,5
aiming,1
air,19
airs,3
alacrity,2
alarm,1
alarmed,1
alarum,1
alas,3
alban,4
albani,1
albans,3
albeit,1
albert,1
alchemists,3
alcibiades,2
alcoran,2
alderman,1
aldermans,1
alex,1
alexander,2
alexanders,1
alienated,1
alieni,2
alight,1
aliment,4
aliter,1
aliud,1
alive,2
allegation,1
allege,2
alleged,1
allegiance,1
alleging,3
allegories,2
allegory,22
alleviating,1
alley,4
alleys,15
allgift,1
alliance,2
alliances,1
allowance,2
allowances,1
allowed,7
alloy,1
alltalented,1
alluded,4
alludes,41
allusion,5
allusions,2
almaigne,1
almighty,1
almondtree,1
alms,2
aloft,3
aloof,1
aloud,1
alpha,1
alphabet,2
alphonso,1
alphonsus,1
alta,2
altar,4
alter,8
alteration,6
alterations,3
altercate,1
altered,3
alteri,1
altering,1
altero,3
alterum,1
altogether,8
amabitur,1
amalthean,1
amantes,2
amare,1
ambassador,4
ambassadors,3
ambassage,1
ambiguous,2
ambition,13
ambitions,1
ambitious,11
ambos,1
ambush,1
amemus,2
amen,1
amendment,4
amends,3
america,3
ami,1
amiable,1
amici,1
amiciti,1
amiss,7
amity,2
ammunition,1
amo,1
amoris,1
amorous,2
amours,4
ample,1
amplificand,1
amplification,3
amplify,1
amplitude,2
amplius,1
amsterdam,1
amuse,2
amusement,2
amusing,1
amyas,2
anabaptists,1
anachronism,1
analogies,1
analysis,1
anathema,1
ancestor,1
ancestors,1
anchor,1
ancient,71
ancientest,1
anciently,3
ancientness,1
ancients,40
andes,1
andromeda,1
anecdote,1
anecdotes,1
aneddote,1
anemones,1
anew,2
angel,4
angels,7
anger,27
angle,1
angli,2
anglic,1
anglois,1
angora,1
angry,8
angues,1
anguis,1
anguish,1
anima,1
animal,1
animals,5
animasque,1
animate,1
animates,1
animateth,1
animi,3
animorum,1
animosities,2
animque,1
animum,1
anjou,1
ann,6
anne,2
annexed,3
annihilate,1
annihilated,1
annihilation,1
annis,1
announced,1
announcement,2
annoy,1
annum,2
annus,1
anointed,2
anomalous,1
anothers,4
anselm,1
anselmus,1
answer,16
answerable,1
answered,9
answering,1
answers,4
ant,1
antagonist,1
antechamber,2
anthemwise,1
anthony,4
antic,1
anticamera,1
anticipated,1
anticipating,1
anticmasques,1
antics,1
antidotes,1
antimasques,2
antiochus,1
antipathy,2
antiperistasis,1
antiq,1
antiquitas,1
antiquities,3
antiquity,15
antithesis,1
antonius,4
anvil,1
anxieties,1
anxiety,1
anxious,2
ap,1
apace,1
ape,1
apelles,1
apemantus,1
aphorisms,2
apiece,1
apoll,1
apollo,11
apollodorus,1
apollonius,3
apologia,1
apologie,1
apologies,2
apophthegmatic,1
apophthegms,2
apostle,5
apostleship,1
apostolatum,1
apothecaries,1
apothegms,1
apparatus,1
apparebat,1
apparel,5
apparent,6
appeal,5
appealed,1
appealing,1
appearance,6
appearances,3
appeared,17
appeareth,4
appearing,2
appears,20
appease,2
appeased,1
appeases,1
appeasing,2
appellation,2
appended,1
appendix,3
appetite,10
appetites,1
appius,2
applauded,1
applause,4
apple,2
apples,4
appletree,1
applicable,1
applicare,1
application,5
applications,1
applied,12
applies,1
apply,10
applying,3
appointed,9
appointment,4
apposed,1
apposite,1
appositely,1
appreciated,1
appreciation,1
apprehended,1
apprehendeth,1
apprehension,3
apprehensions,1
approach,4
approaches,3
approaching,4
approbation,1
approximation,1
apricots,1
april,3
apt,17
aptly,3
aptness,2
apud,2
arabians,1
arbela,1
arbitrament,1
arbitrary,1
arbors,1
arcent,1
arch,4
archangel,1
archbishop,4
archbishops,1
arched,1
archery,2
arches,6
archflatterer,1
archimedes,1
arching,1
archipelago,1
architect,1
archive,1
ardently,1
areiopagus,1
argostis,1
argue,1
argued,1
argument,5
arguments,10
argus,1
ariadne,1
arians,1
arician,1
aries,1
arietations,1
