word,count
aaron,1
ab,2
abandon,1
abandoning,1
abated,1
abbreviated,1
abels,1
abhor,1
abhorrers,1
abhorring,2
abide,2
abilities,6
abilitiesfor,1
ability,3
abner,1
aboard,1
abolishing,1
abominable,1
abominations,1
abortion,1
abortive,1
abound,1
abounding,1
abraham,2
abridged,2
absaloms,1
absence,6
absent,2
absolute,3
absolutely,1
absolution,1
absolved,1
abstaining,1
abstinently,1
abundance,3
abundances,1
abundant,3
abundantly,5
abury,1
abuse,1
abuses,1
accelerates,2
accents,1
accepi,1
accept,11
acceptable,6
acceptation,7
acceptations,2
accepted,5
accepting,1
access,1
accesses,4
accident,7
accidents,6
accipiam,1
accipiant,1
accommodation,1
accompanied,4
accompanies,2
accompany,5
accomplices,1
accomplished,6
accomplishing,1
account,10
accounted,1
accounts,1
accountthat,1
accusation,1
accusations,1
accuse,5
accused,1
accustomed,1
achieve,1
achilles,1
acknowledge,6
acknowledged,1
acknowledges,1
acknowledgment,2
acquaint,1
acquaintance,2
acquainted,1
acquiescence,1
acquired,2
acquitted,1
acted,1
actio,1
action,21
actions,9
active,4
actively,1
acts,10
actual,7
ad,3
adam,12
adams,2
add,4
addedst,1
additi,1
addition,7
adds,2
adest,1
adhere,1
adhered,1
adherence,1
adheres,1
adjoining,2
administer,2
admiration,2
admirer,1
admirers,1
admission,3
admit,7
admits,1
admitted,3
admittedst,1
admitting,1
adoption,3
adornments,1
adscitus,1
advancement,3
advantage,7
adventured,1
adversaries,1
adversary,1
adversity,2
advice,1
advise,1
advised,2
advocate,1
advowson,1
advowsons,1
afar,1
affect,3
affectation,1
affection,7
affections,10
affirm,1
affirmed,3
affix,2
affixed,1
afflicted,2
affliction,13
afflictions,11
afford,12
afforded,16
affordest,1
affording,3
affords,2
affright,1
affrightful,1
afraid,23
agarick,1
age,26
aged,1
ageit,1
agent,1
ages,3
aggravate,3
aggravated,1
aggravates,1
aggravating,1
agitation,1
agitato,1
agonies,1
agony,4
agreeable,2
agreed,1
agues,1
agunt,1
aim,1
air,14
alas,7
alexander,1
alien,1
alike,2
aliorum,1
alios,1
alipius,1
alive,8
aliveit,1
allay,1
allegiance,3
allegories,1
allegory,1
alliances,1
allowance,3
allowest,1
allurements,1
almanack,1
almighty,9
almoner,1
alms,1
almsman,1
almspeople,1
aloof,1
aloud,3
alphonsus,1
altar,7
altars,1
alteration,4
altered,2
altogether,3
amazed,1
amazement,2
amaziah,1
ambassador,4
ambassadors,1
ambition,5
ambitious,3
ambrose,1
ambush,2
amen,16
amend,1
america,2
amiss,2
amos,3
amplexus,1
analysed,1
anatomist,1
anatomize,1
anatomy,2
anchor,7
anchoram,1
anchorites,1
anchors,2
anchorthe,1
ancient,7
andas,1
andhaving,1
andrews,1
angel,8
angels,26
anger,13
angry,5
animo,1
ann,2
annas,1
anne,1
anni,1
annihilate,1
annihilation,3
annis,1
anno,3
annorum,1
annos,1
annuit,1
anointed,2
anothers,4
answer,15
answers,3
antedate,2
antedated,1
anticipation,1
anticipations,2
antidates,1
antidote,3
antioch,1
antwerp,1
anxieties,2
anxiety,1
apace,1
apartment,1
apert,1
apertius,1
apostle,12
apostles,7
apothecary,2
apothecarys,1
apparel,1
apparelest,1
apparelled,1
apparent,1
appeared,6
appearedst,1
appeareth,1
appearing,2
appears,2
appetite,2
applicable,2
application,7
applied,4
applier,1
applies,2
appliest,1
apply,5
applying,2
appoint,1
appointed,13
appointing,1
appointment,1
apprehend,4
apprehended,3
apprehending,1
apprehends,1
apprehension,4
apprehensions,5
apprehensive,1
apprentice,1
approach,2
approaches,2
approaching,3
approbation,1
approbationincreased,1
appropriated,1
appropriating,1
approved,1
apt,2
aragon,1
araunah,2
arbor,2
arcana,1
archbishop,1
ardoinus,1
areas,1
argue,2
argued,1
argues,2
argument,6
arguments,3
aright,2
arising,3
ark,8
arm,1
armest,2
armies,1
armour,1
arms,3
army,7
arose,2
arraigned,1
arrival,1
arrow,1
ars,1
art,60
artery,1
artificer,1
artificial,3
arts,4
artthese,1
asa,1
ascend,3
ascended,2
ascenderet,1
ascending,1
ascends,1
ascension,4
ascribe,1
ascribed,1
ashamed,6
ashes,11
asked,10
askest,2
asks,6
asleep,7
aspect,2
aspicienda,1
aspicit,1
ass,1
assembling,1
assembly,1
assented,1
asseveration,1
assiduous,1
assign,1
assigned,3
assignest,1
assimilated,1
assist,15
assistance,9
assistances,10
assistant,1
assistants,3
assisted,5
assisting,3
associate,2
associating,1
association,2
assuetus,1
assume,2
assuming,3
assurance,17
assured,1
assuring,1
assyrian,1
astrologer,1
asunder,2
aswith,1
atheism,1
atoms,1
atque,1
attain,1
attainment,1
attempt,1
attend,11
attendance,4
attended,3
attending,2
attends,2
attenuation,1
attestation,1
attorney,1
attribute,1
attributed,1
audible,1
audience,1
audiisti,1
auditory,2
august,2
augustine,10
augustines,2
augustus,1
austin,2
author,8
authora,1
authorem,1
authority,3
authorized,1
authors,3
autumn,4
averse,2
averts,1
avow,1
avowable,1
awake,3
awaken,1
awakened,1
awakes,1
awaking,1
babylon,1
bad,1
baked,1
balaams,1
balance,1
ballast,2
balm,1
bands,1
banish,1
banishment,1
banquets,1
baptised,2
baptism,12
baptist,1
baptized,1
baptizes,1
bar,2
barabbas,1
bargain,1
barked,1
barlaam,2
barrelled,1
barren,1
barrenest,1
barrenness,2
base,1
bath,1
bathe,1
batters,1
battery,1
battle,2
beam,1
bear,6
bearing,1
bears,4
beast,1
beasts,2
beat,2
beatifical,1
beautified,1
beautify,1
beauty,1
becomest,1
becometh,1
bed,71
bedchamber,5
bedded,1
bedrid,1
beds,4
bedside,2
beest,2
befall,2
befallen,1
befalls,1
beg,7
began,5
beganst,1
beget,2
begets,1
begetting,1
beggared,1
beggarly,1
begged,2
begging,1
beginnest,1
beginneth,1
begot,2
begotten,2
beguile,1
begun,3
behalf,6
behaviour,1
behaviourwhich,1
beheld,1
behold,6
beholden,1
beholder,1
beholders,3
bein,1
belie,2
belied,1
belief,5
believed,6
believing,3
bell,29
bellarmine,1
bellows,3
bells,21
belong,15
belonged,6
belongs,7
beloved,10
bench,1
benchers,1
bend,2
bends,2
benediction,1
benefactors,1
beneficent,1
benefices,1
beneficial,2
beneficum,1
benefit,8
benefits,2
benevolent,1
benigno,1
bequeathed,2
beseech,6
beseeching,1
besieged,2
bestow,1
bestowed,2
bestower,1
bestows,1
bestride,1
betimes,2
betook,4
betray,1
betrothed,1
betroths,1
betwixt,5
bezoar,1
biathanatos,1
bid,6
bids,3
bidst,4
big,1
bildad,1
bind,3
binds,1
bird,1
birds,1
birth,12
birthright,1
births,1
bishop,9
bishops,1
bite,1
bitter,4
bitterness,2
blasphemies,1
blasphemous,1
blasphemy,1
blast,1
blazing,3
bled,2
blemishes,1
bless,10
blessed,55
blessing,8
blessings,6
blew,1
blind,1
blood,31
bloody,2
blow,5
blown,2
blows,5
blushes,1
board,2
boat,2
boats,1
boded,1
bodies,19
bodily,26
body,161
bodys,1
bohemia,1
bold,3
boldness,3
bond,2
bone,3
bones,12
bonesdoubted,1
bonitate,1
bono,1
bonum,1
book,31
books,10
borders,1
born,10
borrowing,1
bosom,4
bottomless,2
bound,9
boundless,1
bounty,5
bow,1
bowed,1
bowels,2
boxes,1
brain,6
brains,1
brambles,1
brass,1
brave,1
brazen,1
breach,1
bread,27
break,9
breaking,1
breaks,2
breast,2
breath,13
breathe,8
breathed,6
breathes,2
breathing,1
bred,1
breed,2
breeding,1
brethren,3
bribe,1
bribes,1
bright,1
bring,22
bringing,1
brings,3
brittle,2
broke,1
broken,1
brooke,2
brookthat,1
brother,10
brotherinlaw,1
brought,24
broughtest,2
brow,2
brown,1
brows,2
bruise,3
bruising,1
brutus,1
buffeted,1
build,1
building,8
buildings,1
built,8
bullet,1
bullion,1
bulrushes,1
burden,5
burial,8
buried,12
buriedin,2
buries,3
burn,6
burning,4
burnt,2
burthen,4
bury,1
burying,1
bush,2
busiest,1
business,5
businesses,3
busy,4
buttresses,5
buxdor,1
buy,1
bystanders,1
cables,1
caiaphas,1
cain,1
cains,2
calamities,4
calamitous,2
calamity,1
calcine,1
cales,1
calicem,2
called,23
calledst,1
callest,6
calling,8
callingthe,1
calls,17
calumniating,1
calumnies,1
calumny,1
cambridge,5
camest,3
campan,1
canada,1
cand,1
candid,1
candle,1
candlemas,1
candour,1
canker,1
cannon,3
canon,2
canopy,1
canst,11
capable,1
capacities,1
capacity,1
captive,2
cardinal,1
cardinals,1
care,19
careful,2
carelessly,1
carelessness,2
carey,1
carlisle,1
carpets,1
carried,15
carriedst,1
carries,5
carriest,1
carrion,1
carry,14
carrying,2
carve,1
carved,1
carver,1
carvers,1
case,22
cases,7
cast,11
castaway,1
castest,1
casteth,1
casting,1
castles,1
casts,2
casual,2
cat,1
catalogue,1
catechise,1
catechised,1
catechises,1
catechising,1
catechism,2
caterpillars,1
catholic,2
cattle,1
caused,6
causedst,1
cauterizing,1
ceased,1
ceases,1
ceasing,1
cedant,1
celebrate,2
celebrated,4
celebrating,4
celeri,1
censure,2
censured,1
censures,1
centre,11
centurion,2
centurions,1
ceremonial,1
ceremony,1
certainty,2
certitude,1
chafing,1
chain,1
chained,1
chains,1
challenge,2
challenged,1
chamber,6
chamberfellow,1
chamberlain,1
chancellor,6
change,12
changeable,1
changed,9
changest,1
changing,2
channel,2
chap,1
chapel,3
chapels,1
chaplain,3
chapter,2
