word,count
abandon,7
abandoned,6
abandoning,1
abase,1
abate,1
abated,3
abatement,1
abdicate,1
abdicated,2
abdication,1
abet,1
abettors,5
abeunt,1
abhor,2
abhorrence,5
abhors,1
abide,3
abilities,23
ability,16
abject,8
abjure,1
abjured,2
ablest,2
ably,2
abnormis,1
abolish,2
abolished,2
abolishing,2
abominable,1
abound,1
aboutstop,1
abridge,1
abridges,1
abridgments,1
abrogated,2
absence,1
absent,3
absolute,18
absolutely,19
abstain,3
abstract,13
abstractedly,1
abstractions,1
abstruse,2
absurd,12
absurdities,1
absurdity,7
abundance,1
abundant,2
abundantly,4
abuse,42
abused,11
abusedas,1
abuses,26
abusive,4
abyss,1
accede,3
accept,4
acceptable,3
acceptall,1
acceptance,2
accepted,5
accepting,1
access,1
accessible,1
accession,3
accessions,2
accessory,1
accident,2
accidental,1
accidentally,3
accidents,4
accommodated,2
accommodating,1
accommodation,11
accompanied,4
accompany,1
accomplice,2
accomplices,1
accomplish,4
accomplished,5
accord,1
account,65
accountable,1
accountableand,1
accountant,1
accountantgeneral,1
accountants,7
accounted,1
accountif,1
accounting,4
accounts,27
accoutredand,1
accrue,2
accumulate,3
accumulated,12
accumulating,2
accumulation,2
accuracy,2
accurate,3
accurately,1
accusation,4
accuse,2
accused,13
accuser,3
accusers,1
accuses,1
accusing,1
accustomed,1
achieved,1
acknowledge,7
acknowledged,10
acknowledging,1
acknowledgment,4
acompter,1
aconter,1
acquaint,2
acquaintance,6
acquainted,11
acquiesce,1
acquiescence,4
acquiesces,1
acquiescing,1
acquire,3
acquired,11
acquiring,3
acquisition,4
acquisitions,4
acquittal,3
acquittance,3
acquitted,5
acrimony,1
acta,1
acted,21
acting,9
action,6
actions,5
active,16
activity,11
actors,1
acts,84
actsand,1
acttaxes,1
actual,8
actuated,1
acute,3
adapt,2
adapted,4
add,18
adding,1
addington,1
addition,3
additional,4
address,19
addressed,5
addressers,1
addresses,10
addressing,1
addressreject,1
adds,1
adduced,1
adequate,9
adhere,4
adhered,2
adherence,6
adhering,2
adjacent,2
adjourned,1
adjournment,1
adjudged,3
adjures,1
adjust,1
adjusted,3
adjustment,1
administer,2
administered,5
administering,1
administration,71
administrations,3
admirable,1
admirably,1
admiralty,9
admiration,6
admire,1
admirers,1
admissible,3
admission,6
admit,33
admits,3
admitted,20
admitting,1
admonition,3
admonitions,4
adopt,3
adoption,1
adored,1
adoredobliged,1
adorn,2
adorned,1
adorns,1
adulation,1
adult,2
adulterous,1
advance,4
advanced,4
advances,1
advancing,1
advantage,46
advantageno,1
advantageous,6
advantages,17
adventitious,1
adventure,3
adventurer,1
adventurers,1
adventures,2
adversaries,6
adversary,2
adverse,14
advert,3
adverted,2
adverting,1
advertise,1
advertisement,1
advice,9
