word,count
aaron,2
abandon,6
abandoned,28
abandoning,1
abated,1
abdicated,3
abdicating,3
abdication,10
abgarus,1
abhor,1
abhorred,2
abhorrence,11
abhorrent,1
abilities,34
ability,17
abject,8
abler,1
ablest,5
ably,3
abodes,1
abolish,2
abolished,10
abolishing,2
abolition,2
abomination,1
aboras,2
abound,1
abounded,3
abovewhen,1
abraham,4
abridgment,2
abridgments,1
absence,13
absent,2
absolute,22
absolutely,4
absorbed,1
abstain,1
abstained,2
abstract,1
abstraction,1
absurd,2
absurdity,1
abundance,1
abundantly,5
abuse,20
abused,14
abuses,1
abusing,1
abyss,3
academics,1
acceded,1
accelerated,1
accept,18
acceptable,2
acceptance,1
acceptation,1
accepted,23
accepting,1
access,3
accessary,2
accessible,4
accession,22
accessory,2
accident,7
accidental,8
accidentally,3
accidents,2
acclamation,1
acclamations,26
accommodation,3
accompanied,22
accompany,2
accomplice,5
accomplices,2
accomplish,3
accomplished,6
accomplishment,3
accomplishments,4
accost,1
accosted,1
account,20
accountable,2
accounts,1
accumulated,4
accuracy,10
accurate,6
accurately,4
accusation,5
accuse,3
accused,13
accuser,1
accusers,2
accuseth,1
accustomed,25
achaia,2
achan,2
achieved,8
achievement,1
achievements,4
achilleus,1
acknowledge,12
acknowledged,67
acknowledges,3
acknowledging,2
acknowledgment,1
acknowledgments,1
acolythes,1
acquaint,1
acquaintance,1
acquainted,14
acquainting,2
acquiesce,2
acquiesced,5
acquiescence,1
acquire,8
acquired,53
acquires,1
acquiring,3
acquisition,7
acquisitions,2
acquitted,1
acres,1
acted,11
action,36
actions,20
actium,2
active,45
activity,12
acts,10
actual,7
actuate,1
actuated,14
acus,1
adam,2
adapt,1
adapted,18
add,13
adda,1
addicted,4
adding,1
additional,10
address,4
addressed,9
addresses,4
addressing,1
adduced,1
adepts,1
adequate,12
adhere,1
adhered,6
adherence,2
adherent,1
adherents,18
adheres,2
adige,2
adjacent,18
administer,5
administered,6
administration,68
administrationabdication,2
admirable,3
admirably,2
admiral,2
admiration,9
admire,6
admired,10
admires,1
admission,5
admit,7
admits,1
admittance,1
admitted,29
admitting,5
admonish,1
admonished,4
admonition,1
adopt,14
adopting,7
adoption,8
adoration,6
adore,3
adored,12
adoring,1
adorn,6
adorned,20
adorning,2
adriatic,5
adulation,2
adulterated,1
adulterer,1
adulteries,1
adultery,3
advance,7
advanced,38
advances,4
advancing,11
advantage,26
advantageous,15
advantages,32
adventure,1
adventurer,1
adventurers,3
adventures,4
adventus,2
adversaries,5
adversary,7
adverse,1
adversity,2
advice,11
advised,2
advocate,2
advocates,3
affability,2
affable,6
affairs,8
affect,4
affectation,1
affection,16
affectionate,6
affections,12
affinity,7
affirm,3
affirmative,1
affirmed,4
affirms,2
afflict,1
afflicted,17
affluence,2
affluent,2
afford,12
afforded,14
affords,2
affright,1
affrighted,4
affronted,1
affronts,1
afraid,3
africa,59
african,11
africans,3
africanus,2
agap,1
age,170
aged,3
agencies,1
agents,2
ages,38
ageso,1
aggrandizement,1
aggravate,1
aggravated,7
aggressor,1
agitated,6
agree,3
agreeable,16
agreeably,2
agreed,5
agricola,3
agriculture,19
agrippa,1
agrippina,2
ahriman,4
aid,12
aim,2
aimed,1
aiming,1
air,11
airy,1
ajax,1
al,2
alacrity,1
alani,6
alaric,1
alarm,3
alarmed,16
alarming,9
alarms,3
alas,2
alba,1
albania,1
albinus,15
alcantara,1
alchemy,2
alemanni,26
alemannic,1
aleppo,3
alesia,1
alexander,68
alexanders,1
alexandria,27
alexandrian,1
alexandrians,2
algiers,2
alienate,1
alienated,1
alike,23
alive,9
allay,1
allectus,3
allege,3
alleged,3
allegiance,14
alleging,1
allegories,2
allegory,5
alleviate,4
alleviated,4
alleviating,1
alliance,22
alliances,4
allies,13
allmen,1
allotted,4
allowance,4
allowed,25
allowing,3
alloy,1
allpowerful,1
allruling,1
allseeing,2
allthe,1
allured,10
allurements,5
alluring,1
allusion,1
ally,8
almo,1
alms,3
aloud,4
alphabetical,1
alphabets,1
alps,24
alsace,1
altar,10
altars,9
alter,2
alteration,3
alterations,3
altered,1
alternately,1
alternative,2
altogether,1
amala,1
amandus,2
amazement,1
amazing,3
amazons,2
ambassador,4
ambassadors,13
amber,2
ambiguity,1
ambiguous,8
ambition,74
ambitious,19
ambuscades,1
ambush,1
amelius,1
america,3
amiable,21
amiens,1
ammonius,1
amnesty,1
amounted,15
amounting,1
amours,1
amphictyons,1
amphitheatre,16
amphitheatres,1
ample,23
amplitude,1
amply,1
amuse,3
amused,5
amusement,10
amusements,16
analogous,1
analogy,4
anarchy,4
anastasia,1
ancestor,3
ancestors,26
anchialus,1
anchored,3
ancient,173
ancients,21
ancilia,1
ancyra,2
andalusia,1
anecdotes,1
angel,1
angels,3
anger,2
angles,1
angry,7
anguish,3
animal,5
animals,10
animate,4
animated,22
animates,2
animating,2
animationtheir,1
animosities,3
animosity,4
annals,6
annexed,3
annibalianus,1
annihilated,6
annihilation,1
annotations,1
announced,9
announces,3
announcing,2
annual,6
annually,5
anointed,1
anses,1
answer,9
answered,4
answering,1
answers,2
antagonist,4
antagonists,2
antecedent,1
anticipated,1
antinous,1
antioch,31
antiochus,1
antipathy,1
antiquarians,3
antiquated,1
antiquities,2
antiquity,21
antonines,44
antoninespart,8
antoniniespart,4
antoninus,34
antony,2
anulinus,3
anxiety,7
anxious,15
anxiously,5
apama,1
apartment,3
apartments,4
apathy,1
apennine,3
aper,5
apharban,5
apocalypse,1
apollo,5
apolloniates,1
apollonius,1
apologies,1
apologists,5
apology,4
apoplexy,2
apostate,1
apostates,2
apostle,5
apostles,16
apostolic,6
apotheosis,1
apparel,2
apparent,14
appeal,5
appealed,1
appeals,2
appearance,26
appearances,3
appeared,57
appearing,1
appears,27
appease,4
appeased,8
appellation,32
appellations,8
appended,1
appetite,3
appetites,6
applaud,6
applauded,9
applauding,3
applause,11
apple,2
applicable,1
application,8
applied,11
apply,3
applying,2
appoint,5
appointed,17
