word,count
aaron,3
abandon,1
abashed,5
abate,2
abated,5
abatement,1
abattu,1
abels,1
abetted,1
abhor,1
abhorred,3
abhorrence,2
abilities,7
ability,2
abjure,1
abode,7
abolished,1
abominably,1
abortive,2
abridge,1
abrupt,2
abruptly,7
abruptness,1
absence,21
absent,7
absolute,2
absolutely,9
absolved,1
absorb,1
absorbed,2
absorbing,1
absurd,3
absurdities,1
absurdity,1
abundant,1
abuse,2
abused,2
accablant,1
accable,2
accede,1
acceded,1
accelerate,1
accents,3
accept,13
acceptance,1
accepted,12
accepting,4
access,4
accessary,1
accessible,1
accident,13
accidental,3
accidentally,9
accommodate,2
accommodating,1
accommodation,5
accommodations,1
accompanied,10
accompany,5
accompanying,4
accomplish,1
accomplished,1
accomplishments,4
accord,3
accorded,2
accosted,1
account,40
accountable,1
accounted,1
accounts,4
accoutered,1
accumulated,2
accumulating,1
accurate,2
accusation,1
accused,5
accuser,1
accustom,1
accustomed,8
ache,1
acknowledge,8
acknowledged,6
acknowledging,1
acknowledgments,2
acquaint,14
acquaintance,51
acquaintances,1
acquainted,32
acquainting,3
acquire,2
acquired,8
acquirement,1
acquiring,1
acquisition,1
acquisitions,1
acted,2
acting,2
action,4
actions,5
active,7
activity,1
actor,1
actors,1
acts,4
actual,7
actuated,1
acute,1
adapted,3
add,6
addicted,1
adding,5
addition,1
additional,2
address,19
addressed,13
addresses,6
addressing,8
adept,1
adequate,2
adhere,3
adhered,1
adieu,1
adjoining,2
adjusted,1
administer,1
admirable,6
admirably,2
admiration,27
admire,6
admired,8
admirer,2
admirers,3
admission,4
admit,4
admittance,4
admitted,9
admonish,1
admonition,2
admonitions,4
adopting,1
adoption,2
adorable,1
adoration,1
adore,3
adroitly,2
advance,5
advanced,21
advances,1
advancing,12
advantage,13
advantageous,1
advantageously,2
advantages,1
adventure,3
adventurer,2
adversity,1
advertisement,1
advice,30
advise,3
advised,3
advocate,2
affability,2
affair,23
affairs,47
affect,2
affectation,4
affectations,1
affection,16
affectionate,5
affectionately,1
affections,5
affirm,1
affirmative,3
affirmed,1
affirmeth,1
affirming,1
afflicted,3
affliction,2
afflictions,1
affluence,7
affluent,3
afford,8
afforded,10
affording,1
affords,1
affray,2
affrighted,1
affront,3
affronted,5
affronting,1
afraid,11
afternoon,3
againthough,1
againwarrant,1
age,21
aged,1
agent,8
ages,2
aggressor,3
agility,4
agitated,1
agitation,4
agonies,1
agony,4
agree,3
agreeable,11
agreeably,1
agreed,5
agreement,1
ague,1
aid,2
aided,1
aids,1
aim,1
aimed,1
aiming,1
air,30
airs,1
airy,2
akimbo,1
alacrity,3
alarm,12
alarmed,24
alarming,6
alas,6
albany,11
albanys,1
alight,1
alike,9
alive,4
alland,2
allanyevery,1
allegiance,1
alleviating,2
alleviation,1
alley,2
allhardly,1
alliance,10
allied,1
allo,1
allowance,4
allowed,6
allowing,2
allthat,1
allude,1
alluded,1
alluring,3
ally,1
almack,1
aloof,2
aloud,5
alsofor,1
alter,1
alteration,8
alterations,3
altercation,1
altered,4
alternative,1
amassed,1
amaze,4
amazed,11
amazement,17
amazing,2
amazingly,1
ambiguous,1
ambition,6
ambitious,1
amendment,3
amends,5
ami,1
amiable,13
amiss,1
amounted,1
amply,6
amused,5
amusement,15
amusements,5
amuses,1
amusing,1
analogy,1
anan,1
ancestors,2
anchor,1
ancient,3
anecdotes,1
angel,3
angeltell,1
anger,8
angrily,3
angry,17
anguish,1
animated,4
animating,4
animation,2
animosity,1
animpudent,1
annexing,1
annie,1
annihilation,2
announced,9
annuity,1
annum,2
answer,64
answerable,1
answered,156
answering,1
answers,2
ant,5
antagonist,7
antagonists,2
anticipate,1
anticipated,4
anticipates,1
anticipating,1
anticipation,1
antics,1
antipathy,2
anxieties,1
anxiety,15
anxious,9
anxiously,4
apartment,22
apartments,7
apathy,2
apiece,1
apollo,1
apologies,5
apologise,1
apologised,2
apologize,1
apologized,1
apologizing,2
apology,8
apparent,7
appeal,1
appealed,1
appearance,44
appearances,5
appeared,28
appearing,5
appears,2
appease,3
appeased,5
appeasing,1
appellation,1
applauded,1
applause,2
application,12
applied,3
apply,9
applying,6
appoint,2
appointed,6
appointment,3
appointments,1
apprehend,3
apprehended,2
apprehends,1
apprehension,9
apprehensions,7
apprehensive,4
apprenticeship,1
approach,12
approached,11
approaches,2
approaching,2
approbation,10
appropriated,5
approve,3
approved,2
april,1
apt,1
arbitration,1
arch,3
archfoe,1
archly,4
ardent,4
ardently,1
ardour,4
arduous,1
aresby,6
argument,4
arisen,2
arising,2
arm,7
armour,1
arms,3
army,5
arnott,129
arnotts,2
arnottspeak,1
arose,24
arranged,3
arrangement,6
arrangements,4
arranging,1
array,1
arrival,10
arrive,1
arrived,11
arrogance,6
art,11
artaserse,2
artfully,5
articles,1
artifice,3
artifices,4
artificial,1
artless,1
artlessness,1
arts,2
ascendency,1
