word,count
abandoned,5
abated,1
abatement,1
abegging,1
abensberg,1
abilities,5
ability,1
abject,2
abode,5
abound,1
abounding,1
abovementioned,1
abraham,4
abruptly,1
absence,2
absent,3
absolute,1
absolutely,1
absurd,3
absurdity,3
abundance,1
abuse,2
academy,1
accents,1
accept,7
acceptance,2
accepted,1
accident,7
accidental,2
accidentally,3
accidents,4
accommodate,1
accommodated,1
accompanied,2
accompany,1
accomplishment,2
accomplishments,2
accompts,1
accosted,1
account,20
accounts,5
accumulate,2
accumulated,2
accumulation,3
accuse,1
accused,1
ace,1
acis,1
acknowledge,1
acknowledged,1
acknowledgments,1
acquaintance,12
acquaintances,4
acquainted,11
acquiesced,1
acquire,2
acquired,2
acquitting,1
acres,1
acrimony,2
acted,6
acting,4
actions,2
active,1
actors,1
acts,2
adamant,1
adapted,3
add,4
adding,7
addition,2
additional,1
address,5
addressed,3
addresses,5
addressing,1
adds,2
adherence,1
adjourning,1
admirable,1
admiration,1
admire,1
admired,1
admirer,3
admiring,1
admit,3
admittance,2
admitted,4
admonished,1
admonishing,1
admonition,1
adorn,1
adulation,2
adultery,1
advance,1
advanced,1
advancing,1
advantage,10
advantageous,1
advantageously,1
advantages,5
adventitious,1
adventure,2
adventurers,1
adventures,4
adversity,3
adverted,1
advertisement,3
advice,17
advise,4
advised,2
advisers,2
advocates,1
affair,7
affairs,2
affection,4
affectionately,1
affections,12
affectionscome,1
affinity,1
affirmation,1
affirmative,2
affirmed,1
affirming,1
affixed,2
affliction,3
afflictions,4
affluence,3
affluent,2
afford,3
affords,1
affrighted,1
afraid,6
aftergrowth,1
afternoon,1
age,16
agent,1
ages,1
agethat,1
aggravate,3
agitations,1
agony,1
agreeable,5
agreeably,2
agreed,9
aid,1
aim,4
aimed,1
air,22
aire,1
airs,1
alacrity,1
alarm,2
alarmed,8
alarming,1
alarms,2
alas,11
alehouse,5
alehouses,1
alexander,1
alighted,3
alive,1
alledges,1
alledging,2
allegory,1
allen,1
alliance,3
allmarry,1
allo,1
allotted,1
allowed,5
allowing,1
allured,1
allurements,1
alluring,1
alreadyyou,1
alter,1
alteration,2
altered,1
alternate,1
alternately,1
alternation,1
altogether,1
amaze,3
amazed,7
amazement,2
amazing,1
amazingly,1
amazon,1
ambition,10
ambitious,1
amelia,4
amen,1
amend,2
amendment,2
america,2
amiable,1
amiss,1
amounted,1
amour,2
amours,1
amphitheatre,1
amsterdam,2
amuse,4
amused,3
amusement,8
amusements,5
amusing,9
analogically,1
analytical,1
anarchon,2
ancestor,1
ancestors,3
ancient,2
ancients,2
anecdotes,1
angel,6
angelah,1
angelina,1
angels,1
anger,3
angles,1
angrily,1
angry,6
anguish,6
animal,4
animals,2
animations,1
annual,1
anodyne,1
anointed,1
anotherguess,1
anotherhow,1
anothersand,1
answer,18
answered,11
answering,2
answero,1
answers,2
antagonist,3
anticipate,1
anticipated,3
antipathy,1
antiqua,1
antiquated,1
antiques,1
antiquity,1
antwerp,1
anxiety,6
anxietyi,1
anxious,1
apace,1
apartment,19
apartments,1
apologies,1
apothecary,1
apparent,2
appearance,25
appearances,1
appeared,24
appearing,3
appears,4
apperture,1
appetite,2
applaud,2
applauded,2
applause,7
applicable,1
application,1
applications,1
applied,2
apply,2
applying,1
appointed,3
appointment,1
appraised,1
apprehension,4
apprehensions,4
apprehensive,4
apprentice,3
apprised,1
apprized,5
approach,7
approached,8
approaching,8
approbation,12
approve,8
approved,2
april,1
apt,2
ara,2
arabella,6
arbours,1
archdeacons,1
archer,1
archness,1
ardent,1
ardently,1
ardor,1
ardour,2
argument,11
argumentconfute,1
arguments,1
arisen,1
arises,2
arising,1
aristocratical,1
aristotle,1
arm,12
armed,1
arms,18
armstrongs,1
armswelcome,1
army,1
arnold,7
arose,2
arraign,1
arrant,1
arrested,1
arrival,9
arrived,8
arrives,2
arrogate,1
arrow,1
art,19
artful,1
artfully,2
articles,2
artifices,2
arts,4
ascending,1
ascent,1
ascribed,2
ashamed,6
asked,17
asleep,3
aspect,3
asperse,1
aspire,1
aspiring,1
assaulted,1
assemble,1
assembled,3
assembly,2
assent,1
assented,2
assenting,3
asser,1
asserted,5
assertion,1
assiduities,1
assiduity,8
assiduous,3
assigned,1
assist,7
assistance,15
assisted,1
assisting,3
assizes,1
associate,4
assume,2
assumed,2
assuming,2
assurance,8
assurances,2
assure,3
assured,17
assuredly,1
assuring,4
astonished,1
astonishment,3
astray,1
asunder,1
atelutaion,2
atmosphere,1
attached,3
attachment,2
attachmenthis,1
attained,1
attempt,12
attempted,11
attempting,2
attempts,8
attend,4
attendant,2
attendants,1
attended,12
attending,3
attention,11
attentive,2
attest,1
attitudes,4
attorney,4
attribute,1
attributed,1
auctions,2
audaciously,1
audience,4
auditor,1
aught,1
aukward,1
aunt,4
aunts,1
author,6
authority,2
authors,1
autumn,1
avail,1
avarice,1
avenge,2
averred,2
averse,2
aversion,1
avoid,21
avoided,1
awaited,1
awaked,5
awakened,1
awe,2
awful,1
awhile,1
awry,1
ay,5
aye,3
babes,2
bachelors,1
backgammon,1
bad,8
bade,6
bag,1
baggage,1
baggageconsider,1
baggages,1
bagnio,1
balance,2
ball,3
ballad,6
ballads,1
band,1
bank,2
bankruptcy,1
banquet,1
barbara,1
bare,1
bargain,6
bargainhe,1
bargains,2
barn,1
baronet,11
baronets,1
barter,1
base,9
basely,5
baseness,9
basest,3
bashful,1
bashfulness,1
bask,1
basket,1
batchellor,1
battle,4
bawling,2
baxter,3
beadle,1
bear,10
bearer,2
bearing,1
beast,1
beat,2
beaten,1
beauties,4
beautiful,3
beauty,18
bed,13
bedcloaths,2
bedews,1
beds,2
bedside,3
befallen,1
beforesurely,1
beforeyes,1
beg,7
began,33
beggar,2
beggarly,1
beggars,2
beggary,2
begged,5
begging,3
beginsphoo,1
begone,2
beguild,1
begun,3
behave,1
behaviour,6
behold,6
beholds,1
beingoverwise,1
beings,1
believed,1
bell,1
bells,1
belly,1
belong,2
belonged,3
belongs,1
ben,1
bench,1
bends,1
beneath,2
benefactor,4
benefit,2
benefits,1
benevolence,10
benevolencesomething,1
bent,2
bequeath,1
berosus,2
beset,1
besiege,1
besiegers,1
bespoke,1
bestlet,1
bestow,4
bestowed,2
bestowing,1
bestows,2
betray,2
betrayd,1
betrayed,3
betrayer,5
betters,4
betterthere,1
beverland,1
beyes,1
bible,2
biblion,1
bid,10
bidders,1
bidding,3
bids,1
big,1
bills,1
bind,2
binding,2
bird,2
birds,1
birth,1
bishop,2
bit,4
bite,3
bitter,1
bitterness,5
black,2
blackberry,3
blackbirds,2
blameably,1
blamed,1
blank,1
blarney,4
blaze,2
blenkinsops,1
bless,5
blessing,8
blessings,2
blest,4
blind,6
blinded,1
bliss,4
blockhead,1
blockheads,1
blood,5
bloody,1
bloodyminded,1
blooming,1
blossom,2
blotted,1
blow,11
blown,1
blows,2
blowzed,2
blue,2
blunted,1
blush,4
blushing,2
bluster,1
boarding,1
boast,4
boasting,1
body,10
bold,1
boldly,2
boldlymy,1
bolts,1
bond,4
bonds,1
bones,1
book,8
books,9
bookseller,1
boots,1
bore,4
born,2
borne,2
borrow,3
borrowed,1
bosom,6
bosomis,1
bottle,3
botts,1
bought,6
bounced,1
bound,2
bounties,1
bounty,2
bow,2
bowd,1
bowed,1
bower,1
bowl,2
box,8
boxes,1
boy,27
boynothing,1
boys,11
brave,8
braves,1
breach,4
bread,8
breadstitch,1
break,8
breakfast,6
breaking,1
breast,6
bred,5
breeding,12
breeze,1
brewing,1
bribing,1
bride,3
bridegrooms,1
brides,2
bridge,1
bright,5
brighten,2
brighter,2
brilliant,1
bring,22
bringing,2
brings,3
brink,1
britons,5
broached,3
broad,1
broke,4
broken,9
brother,9
brothers,3
brought,37
browbeat,1
brown,2
brush,1
brushing,1
