word,count
abated,1
abilities,5
ability,2
abled,3
abominable,1
abound,1
abounding,1
absence,1
absolute,1
absurdities,4
absurdity,4
abundantly,1
access,1
accessible,2
accident,2
accidental,5
accidents,1
acclamations,1
accommodated,1
accommodating,1
accommodations,1
accomplishment,1
account,2
accumulate,1
accumulated,2
accuracy,2
accurately,1
accuse,1
accused,1
accustomed,2
achievement,1
achilles,2
acknowledged,2
acknowledgment,1
acquaintance,2
acquainted,3
acquaints,1
acquiescence,3
acquisition,1
acquisitions,2
acrimony,2
acted,3
action,26
actions,9
actium,1
actors,1
acts,5
acute,1
acuteness,1
adamant,1
adapted,1
add,5
adder,1
adding,1
addison,3
addition,2
adeo,1
adequate,1
adhere,1
adherence,1
adjusting,1
admire,1
admired,3
admirer,1
admirers,2
admits,2
admitted,3
admonitions,1
adulteration,1
advanced,5
advancement,2
advances,3
advantage,1
advantages,2
adventitious,3
adventure,2
adventurer,2
adventures,4
aemilia,1
aeneas,1
affairs,1
affectation,3
affection,4
affirmed,1
affirms,1
afforded,4
affords,2
afraid,4
age,22
agencourt,1
agency,3
agent,3
ages,5
aggravated,1
aggravation,1
agitated,2
agitates,1
agony,1
agree,2
agreeable,2
aid,1
aimwarburton,1
air,1
airy,2
alarmed,1
aleria,1
alexander,1
alexandria,3
alike,3
allied,1
allotted,1
allowance,1
allowed,4
allowing,1
allurements,1
allusion,1
allusions,3
alter,1
alteration,2
alterations,2
altogether,1
ambassadors,1
ambition,2
ambitious,1
amend,1
amendment,1
ample,1
amplification,1
amply,1
amputation,1
amuse,1
amusements,1
amusing,1
anacreon,1
analogy,1
analyse,1
analysis,1
ancestors,1
ancient,10
ancients,2
angelo,3
angelos,1
angry,1
animadversion,1
annotated,1
annotators,2
anomalies,1
answer,1
answered,3
antagonists,1
anticipated,2
antiquaries,1
antiquity,2
antithesis,1
antony,2
anxious,1
anxiously,1
apologise,1
apparition,2
appeal,1
appealing,1
appearance,4
appearances,2
appeared,6
appears,3
appendages,2
appended,1
applause,2
apple,1
application,1
applied,4
applying,1
approach,2
approaches,1
approbation,6
appropriated,1
appropriates,1
appropriating,1
approximates,1
april,2
arbitrary,2
arcadia,1
archery,1
architect,1
architecture,1
ardent,1
ardour,2
argument,2
argumentation,1
argumentative,1
arguments,2
arises,3
arising,2
aristotle,2
armies,1
arrives,1
arrogant,1
art,12
artful,4
artfully,1
arthur,1
artificial,4
artless,2
ascham,1
ascribe,1
ascribed,1
asinine,1
asked,1
aspire,1
aspired,1
assailants,1
assassin,1
assassinations,1
assembly,1
assigned,3
assist,2
assistance,3
assistances,1
assume,1
assumes,1
assumptions,1
astonishment,1
athens,2
atoms,1
atoning,1
atrocious,1
attack,1
attacks,1
attain,1
