word,count
abates,1
abhorrd,1
abhorred,1
abide,2
abjure,1
aboard,2
abominable,1
absolute,1
abstemious,2
abstenious,1
abundance,1
abuse,1
abysm,1
accent,1
accented,1
accident,1
accidents,2
ache,2
aches,1
acknowledge,1
acorn,1
acquaintance,1
acquaints,1
acquire,1
acquisition,1
acre,1
acres,1
action,2
actions,1
actors,2
adders,1
addition,1
adds,2
admiration,1
admire,1
admired,1
admit,1
adore,1
adr,9
adrian,6
advance,2
advanced,1
advancement,1
advancing,1
advantage,2
advantageous,1
adventure,1
advice,2
advise,1
advocate,1
ae,1
aeneas,1
afeard,4
afeardthy,1
affection,1
affections,3
affix,1
affliction,1
afflictions,1
afire,1
afore,2
afraid,3
afric,1
african,1
afternoon,1
age,4
aged,1
aground,1
ague,3
ahold,2
aid,2
air,14
airs,2
airthe,1
airy,2
ake,1
akes,1
alack,3
alas,2
alive,3
alla,1
allay,1
allaying,2
allowed,1
alls,1
aloft,1
alon,42
alonso,8
altered,1
amain,1
amazedly,1
amazement,3
ambiguity,1
ambition,6
amen,2
amends,2
amply,1
ancient,2
anddo,1
andhow,1
ands,1
angels,2
anger,3
angle,1
angry,1
annotated,1
annoy,1
annual,1
anon,4
answer,4
ant,68
anthonio,1
antonio,9
ap,1
apace,1
apes,3
apparel,2
apparent,1
apparition,1
appears,2
appertaining,1
apple,1
applicable,1
appointed,1
approach,3
approaching,1
april,1
arabia,1
arcadia,1
arch,1
archivecanadian,1
ardour,1
argier,2
ari,55
ariel,52
ariels,2
arms,3
army,1
arrangement,3
arrived,2
arrows,1
art,31
article,1
arts,1
ashore,4
asleep,10
aspersion,1
ass,1
assaults,1
assist,2
assurance,2
assure,2
ats,2
attachd,1
attempts,1
attend,5
attendants,1
attended,2
attending,1
attendst,1
attentive,1
attire,1
aught,1
august,1
auspicious,2
austerely,1
authority,1
authors,1
avoid,2
awake,9
awaked,2
awakewhy,1
ay,20
aye,2
azured,1
bachelor,1
backs,1
bad,1
bade,1
badest,1
badges,1
baked,1
bald,1
ban,2
bands,1
banishd,2
bank,1
banks,1
banquet,2
bare,1
barefoot,1
bark,5
barley,1
barnacles,1
barns,1
barren,3
base,1
baseless,1
baseness,2
bashful,1
basis,1
bass,2
bastard,1
bate,2
bated,1
batfowling,1
bats,2
batter,1
bawling,1
beak,1
beam,1
bear,16
beard,1
bearing,1
bears,2
beast,2
beasts,2
beat,8
beating,3
beats,3
beaumont,1
beauteous,1
beauty,1
beautys,1
